Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.219542185844718,-0.489097435985613,0.253171163731009,0,0,0,45.0255547584039,3.47370213259269,8.68638754770634E-06,1.28817771727052E-06,1.51493007257673,0.0559660105211115,4.32787408102168,0,0,0,0,0,0,package://project_1_group_2/meshes/base_link.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://project_1_group_2/meshes/base_link.STL,,Truck_Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steering_wheel_1,2.86075080291326E-08,0.0749063419355981,0.00254051949689649,0,0,0,0.295424107267104,0.000710809060839364,1.53957020749097E-10,3.53322320504462E-10,0.000104054571155282,3.85934455800396E-05,0.000690101015602261,0,0,0,0,0,0,package://project_1_group_2/meshes/steering_wheel_1.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://project_1_group_2/meshes/steering_wheel_1.STL,,Steering_Arm-1,Origin_steering_joint_1,Axis_steering_joint_1,steering_joint_1,continuous,0.0709516994137151,-0.734196139704711,0.0381336482199598,1.5707963267949,0,-1.64845028267497,base_link,0,1,0,,,,,,,,,,,,
wheel_1,-1.11022302462516E-16,0.0328469418204771,-1.11022302462516E-16,0,0,0,0.217134053712094,0.000126052696684197,-6.05628557286825E-20,-1.01643953670516E-20,0.000159854355976214,-1.22819777351874E-19,0.000126052696684198,0,0,0,0,0,0,package://project_1_group_2/meshes/wheel_1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://project_1_group_2/meshes/wheel_1.STL,,Truck_Wheels-3,Origin_wheel_1_joint,Axis_wheel_1_joint,wheel_1_joint,continuous,0,0.0234950000000013,0.0304806572118972,1.5707963267949,0,1.16336545532605,steering_wheel_1,0,1,0,,,,,,,,,,,,
tire_1,-2.77555756156289E-16,0.033142685248773,-6.93671252038897E-06,0,0,0,1.9636352752673,0.00664149361787531,-5.32614317233504E-18,0,0.0114725337233255,5.01717636383831E-07,0.00664244711710664,0,0,0,0,0,0,package://project_1_group_2/meshes/tire_1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://project_1_group_2/meshes/tire_1.STL,,Truck_Tire-3,Origin_tire_joint_1,Axis_tire_joint_1,tire_joint_1,fixed,0,0,0,0,0,0,wheel_1,0,0,0,,,,,,,,,,,,
steering_wheel_2,2.86075079181103E-08,0.0749063419355979,0.0025405194968966,0,0,0,0.295424107267104,0.000710809060839366,1.53957022007787E-10,3.53322320524791E-10,0.000104054571155282,3.85934455800392E-05,0.000690101015602263,0,0,0,0,0,0,package://project_1_group_2/meshes/steering_wheel_2.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://project_1_group_2/meshes/steering_wheel_2.STL,,Steering_Arm-2,Origin_steering_joint_2,Axis_steering_joint_2,steering_joint_2,continuous,0.368131699413715,-0.734196139704711,0.0381336482199601,1.5707963267949,0,1.46985194767708,base_link,0,1,0,,,,,,,,,,,,
wheel_2,-1.11022302462516E-16,0.0327404142384009,4.85722573273506E-17,0,0,0,0.217134053712094,0.000126052696684197,-1.40607469244214E-19,4.58162463473438E-22,0.000159854355976214,4.6915870035985E-20,0.000126052696684197,0,0,0,0,0,0,package://project_1_group_2/meshes/wheel_2.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://project_1_group_2/meshes/wheel_2.STL,,Truck_Wheels-4,Origin_wheel_2_joint,Axis_wheel_2_joint,wheel_2_joint,continuous,0,0.023495,0.030587184793973,1.5707963267949,0,0,steering_wheel_2,0,1,0,,,,,,,,,,,,
tire_2,-5.55111512312578E-16,0.0330361576666969,-6.93671252204042E-06,0,0,0,1.9636352752673,0.00664149361787532,-2.23887748618257E-17,-2.02295290606123E-20,0.0114725337233255,5.01717636407576E-07,0.00664244711710664,0,0,0,0,0,0,package://project_1_group_2/meshes/tire_2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://project_1_group_2/meshes/tire_2.STL,,Truck_Tire-4,Origin_tire_2_joint,Axis_tire_2_joint,tire_2_joint,fixed,0,0,0,0,0,0,wheel_2,0,0,0,,,,,,,,,,,,
drive_wheel_1,0,-0.00394110038134092,0,0,0,0,0.217134053712094,0.000126052696684197,3.3729039727271E-21,3.3881317890172E-21,0.000159854355976214,3.61812388485371E-23,0.000126052696684197,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_wheel_1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_wheel_1.STL,,Truck_Wheels-2,Origin_drive_wheel_1_joint,Axis_drive_wheel_1_joint,drive_wheel_1_joint,continuous,0,-0.226196139704711,0.0616752507094044,0,-1.05614651222822,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
drive_tire_1,4.85722573273506E-17,0.0463546430469551,-6.93671252210981E-06,0,0,0,1.9636352752673,0.00664149361787532,5.97502334949104E-19,6.50521303491303E-19,0.0114725337233256,5.01717636401396E-07,0.00664244711710664,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_tire_1.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_tire_1.STL,,Truck_Tire-2,Origin_drive_tire_joint,Axis_drive_tire_joint,drive_tire_joint,fixed,0,-0.05,0,0,0,0,drive_wheel_1,0,0,0,,,,,,,,,,,,
drive_wheel_2,0,0.0251005990323743,0,0,0,0,0.217134053712094,0.000126052696684198,-3.63749633218865E-22,3.3881317890172E-21,0.000159854355976214,4.59571290113259E-21,0.000126052696684198,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_wheel_2.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_wheel_2.STL,,Truck_Wheels-1,Origin_drive_wheel_2_joint,Axis_drive_wheel_2_joint,drive_wheel_2_joint,continuous,0.410041699413715,-0.226196139704711,0.0616752507094044,0,0.133652884209387,-1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
drive_tire_2,5.55111512312578E-17,0.0380963424606702,-6.93671252208206E-06,0,0,0,1.9636352752673,0.00664149361787531,-2.07086320713876E-19,-2.71050543121376E-19,0.0114725337233255,5.01717636401017E-07,0.00664244711710664,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_tire_2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://project_1_group_2/meshes/drive_tire_2.STL,,Truck_Tire-1,Origin_drive_tire_2_joint,Axis_drive_tire_2_joint,drive_tire_2_joint,fixed,0,-0.0127,0,3.14159265358979,0,3.14159265358979,drive_wheel_2,0,0,0,,,,,,,,,,,,
